Date,Price,Open,High,Low,Vol.,Change %
02/13/2020,"1,539.16","1,544.75","1,545.92","1,536.76",98.00M,-0.24%
02/12/2020,"1,542.94","1,551.02","1,555.66","1,538.66",182.74M,-0.55%
02/11/2020,"1,551.48","1,544.89","1,554.67","1,543.23",103.14M,0.56%
02/10/2020,"1,542.80","1,557.07","1,557.07","1,540.11",101.85M,-0.75%
02/07/2020,"1,554.49","1,554.29","1,554.91","1,546.08",124.36M,0.11%
02/06/2020,"1,552.77","1,540.88","1,555.53","1,540.88",154.66M,1.04%
02/05/2020,"1,536.79","1,539.64","1,539.89","1,529.10",192.36M,0.06%
02/04/2020,"1,535.80","1,528.32","1,542.59","1,527.70",167.92M,0.91%
02/03/2020,"1,521.95","1,522.14","1,528.06","1,517.61",154.06M,-0.60%
01/31/2020,"1,531.06","1,544.25","1,552.46","1,530.69",232.27M,-0.94%
01/30/2020,"1,545.59","1,551.25","1,551.25","1,540.71",158.85M,-0.31%
01/29/2020,"1,550.47","1,551.63","1,554.42","1,547.94",173.16M,-0.08%
01/28/2020,"1,551.64","1,558.57","1,558.59","1,545.63",196.18M,-1.35%
01/24/2020,"1,572.81","1,573.60","1,575.21","1,568.64",80.19M,-0.10%
01/23/2020,"1,574.44","1,575.27","1,577.79","1,571.58",109.51M,-0.22%
01/22/2020,"1,577.98","1,584.64","1,595.38","1,576.90",169.77M,-0.59%
01/21/2020,"1,587.33","1,589.29","1,592.59","1,587.10",113.06M,-0.10%
01/20/2020,"1,588.88","1,596.39","1,596.39","1,588.88",82.67M,-0.43%
01/17/2020,"1,595.81","1,586.94","1,595.81","1,586.76",147.65M,0.50%
01/16/2020,"1,587.88","1,582.12","1,588.23","1,575.77",95.09M,0.17%
01/15/2020,"1,585.14","1,579.94","1,585.14","1,573.92",84.83M,0.29%
01/14/2020,"1,580.60","1,584.99","1,587.47","1,571.89",96.08M,-0.26%
01/13/2020,"1,584.73","1,593.10","1,595.24","1,581.57",76.07M,-0.42%
01/10/2020,"1,591.46","1,596.65","1,597.85","1,589.07",77.26M,-0.26%
01/09/2020,"1,595.65","1,593.72","1,599.01","1,589.98",97.47M,0.41%
01/08/2020,"1,589.10","1,604.06","1,604.06","1,587.43",93.68M,-1.36%
01/07/2020,"1,611.04","1,596.56","1,612.60","1,596.42",96.58M,0.83%
01/06/2020,"1,597.76","1,611.16","1,611.16","1,593.08",57.24M,-0.85%
01/03/2020,"1,611.38","1,606.31","1,612.62","1,604.34",109.70M,0.55%
01/02/2020,"1,602.50","1,590.98","1,603.72","1,590.98",69.88M,0.86%
12/31/2019,"1,588.76","1,609.37","1,610.69","1,588.76",104.60M,-1.67%
12/30/2019,"1,615.67","1,609.45","1,617.43","1,608.76",82.15M,0.31%
12/27/2019,"1,610.61","1,599.93","1,610.91","1,598.48",63.77M,0.44%
12/26/2019,"1,603.55","1,604.68","1,607.12","1,602.66",22.69M,-0.04%
12/24/2019,"1,604.23","1,613.83","1,613.87","1,602.10",34.85M,-0.62%
12/23/2019,"1,614.18","1,606.45","1,615.11","1,601.23",65.78M,0.25%
12/20/2019,"1,610.18","1,598.27","1,610.18","1,591.95",170.10M,0.89%
12/19/2019,"1,596.01","1,587.13","1,603.59","1,585.76",84.33M,-0.19%
12/18/2019,"1,599.11","1,578.60","1,599.11","1,570.90",127.89M,1.41%
12/17/2019,"1,576.95","1,571.87","1,576.95","1,564.25",105.20M,0.48%
12/16/2019,"1,569.35","1,568.43","1,573.41","1,565.59",77.94M,-0.12%
12/13/2019,"1,571.16","1,576.51","1,579.23","1,571.16",125.14M,0.24%
12/12/2019,"1,567.34","1,559.83","1,572.51","1,559.83",124.14M,0.27%
12/11/2019,"1,563.19","1,558.76","1,568.03","1,558.76",94.60M,0.09%
12/10/2019,"1,561.79","1,561.47","1,564.82","1,559.23",72.44M,-0.06%
12/09/2019,"1,562.71","1,566.18","1,567.78","1,560.02",76.68M,-0.37%
12/06/2019,"1,568.44","1,561.58","1,569.01","1,561.58",67.75M,0.31%
12/05/2019,"1,563.58","1,561.94","1,567.34","1,560.13",102.87M,0.17%
12/04/2019,"1,560.93","1,553.99","1,560.93","1,550.92",106.19M,-0.09%
12/03/2019,"1,562.27","1,568.85","1,568.85","1,556.17",85.94M,-0.53%
12/02/2019,"1,570.55","1,562.55","1,570.55","1,561.98",75.99M,0.56%
11/29/2019,"1,561.74","1,585.70","1,585.70","1,560.72",113.62M,-1.39%
11/28/2019,"1,583.77","1,588.08","1,588.51","1,582.28",68.60M,-0.21%
11/27/2019,"1,587.18","1,587.64","1,590.51","1,582.46",72.43M,0.21%
11/26/2019,"1,583.87","1,589.64","1,595.92","1,583.70",255.82M,-0.47%
11/25/2019,"1,591.35","1,595.08","1,596.30","1,588.72",56.37M,-0.34%
11/22/2019,"1,596.84","1,589.87","1,600.06","1,589.25",93.25M,0.29%
11/21/2019,"1,592.19","1,601.36","1,601.36","1,587.07",97.58M,-0.56%
11/20/2019,"1,601.14","1,601.42","1,604.38","1,598.32",87.74M,-0.26%
11/19/2019,"1,605.31","1,601.09","1,605.31","1,595.15",80.14M,0.06%
11/18/2019,"1,604.36","1,593.09","1,604.36","1,592.47",57.60M,0.60%
11/15/2019,"1,594.75","1,593.79","1,596.85","1,592.22",77.52M,0.08%
11/14/2019,"1,593.55","1,595.40","1,598.09","1,592.63",83.65M,-0.23%
11/13/2019,"1,597.22","1,610.88","1,610.88","1,593.91",120.63M,-0.78%
11/12/2019,"1,609.73","1,612.18","1,614.21","1,605.71",102.46M,0.10%
11/11/2019,"1,608.15","1,610.66","1,611.43","1,601.99",87.81M,-0.10%
11/08/2019,"1,609.73","1,607.09","1,614.19","1,606.02",109.61M,0.02%
11/07/2019,"1,609.33","1,604.85","1,609.33","1,601.18",106.44M,0.38%
11/06/2019,"1,603.25","1,609.43","1,609.64","1,597.18",86.58M,-0.22%
11/05/2019,"1,606.74","1,599.07","1,606.74","1,597.76",136.83M,0.20%
11/04/2019,"1,603.56","1,598.28","1,603.56","1,595.20",105.49M,0.64%
11/01/2019,"1,593.34","1,595.73","1,596.84","1,583.00",88.60M,-0.29%
10/31/2019,"1,597.98","1,579.14","1,599.77","1,579.14",192.72M,1.14%
