Price,Open,High,Low,Vol.,Change %
1631.09,1628.78,1638.17,1628.19,112370000.0,0.0001
1637.19,1631.11,1637.19,1630.24,141170000.0,0.0037
1629.87,1632.68,1633.36,1623.91,139220000.0,-0.0045000000000000005
1626.0,1628.77,1633.08,1624.34,834200000.0,-0.0024
1626.5,1623.33,1629.11,1622.25,158320000.0,0.0003
1630.53,1625.83,1635.0,1624.44,152270000.0,0.0025
1636.46,1633.75,1638.57,1632.14,134690000.0,0.0036
1648.99,1633.38,1650.63,1633.38,100490000.0,0.0077
1660.62,1650.26,1660.62,1648.76,199680000.0,0.0070999999999999995
1657.85,1658.58,1663.16,1653.25,144280000.0,-0.0017000000000000001
1650.51,1657.53,1664.04,1650.38,107060000.0,-0.0044
1641.22,1651.65,1651.79,1641.22,131880000.0,-0.005600000000000001
1629.77,1634.59,1634.59,1622.88,117560000.0,-0.006999999999999999
1626.11,1629.69,1629.69,1619.48,140000000.0,-0.0022
1627.96,1620.92,1629.05,1619.78,114140000.0,0.0011
1614.9,1628.89,1629.47,1613.79,137580000.0,-0.008
1624.18,1614.84,1624.31,1614.29,139480000.0,0.005699999999999999
1634.23,1624.93,1635.51,1624.54,118070000.0,0.0062
1637.69,1635.16,1637.69,1630.3,113420000.0,0.0021
1639.98,1640.67,1642.15,1634.94,120190000.0,0.0014000000000000002
1634.05,1639.84,1640.07,1611.88,179830000.0,-0.0036
1629.52,1627.69,1632.03,1618.25,113200000.0,-0.0028000000000000004
1634.04,1624.32,1635.86,1620.94,139280000.0,0.0028000000000000004
1642.21,1634.16,1643.32,1630.51,123410000.0,0.005
1654.08,1644.69,1654.17,1644.11,177160000.0,0.0072
1646.22,1653.16,1654.28,1644.64,78730000.0,-0.0048
1654.84,1649.34,1657.77,1648.0,103240000.0,0.0052
1650.71,1653.0,1655.72,1647.45,51780000.0,-0.0025
1644.54,1655.6,1656.03,1640.68,122950000.0,-0.0037
1653.87,1645.84,1656.49,1645.49,127700000.0,0.005699999999999999
1653.97,1653.58,1655.35,1647.88,120000000.0,0.0001
1660.39,1653.51,1660.39,1652.07,189980000.0,0.0039000000000000003
1654.78,1658.26,1659.52,1652.23,138900000.0,-0.0034000000000000002
1668.4,1660.46,1668.4,1659.4,137840000.0,0.008199999999999999
1670.84,1664.92,1671.87,1662.94,97080000.0,0.0015
1670.55,1671.6,1674.58,1666.43,141850000.0,-0.0002
1669.61,1669.49,1669.8,1664.01,98880000.0,-0.0006
1657.54,1661.36,1663.99,1657.54,116250000.0,-0.0072
1657.42,1656.13,1659.76,1651.9,97040000.0,-0.0001
1668.26,1657.64,1668.26,1657.47,110230000.0,0.006500000000000001
1661.42,1666.99,1666.99,1660.51,105340000.0,-0.0040999999999999995
1663.56,1661.8,1664.76,1659.24,112790000.0,0.0013
1658.5,1658.39,1659.55,1652.84,127440000.0,-0.003
1653.26,1657.99,1662.06,1653.26,155830000.0,-0.0032
1665.23,1657.18,1666.5,1656.55,144820000.0,0.0072
1660.23,1664.31,1665.17,1657.78,124490000.0,-0.003
1648.5,1657.44,1659.55,1648.45,102380000.0,-0.0070999999999999995
1655.29,1651.65,1655.29,1651.37,88900000.0,0.0040999999999999995
1664.04,1655.24,1664.04,1653.43,130360000.00000001,0.0053
1672.68,1666.34,1672.68,1664.59,116580000.0,0.0052
1671.71,1674.49,1674.49,1667.75,126570000.0,-0.0006
1673.03,1668.87,1673.56,1666.51,104660000.0,0.0008
1678.8,1675.03,1678.8,1670.63,105900000.0,0.0034000000000000002
1684.15,1681.11,1685.56,1679.95,150660000.0,0.0032
1690.33,1681.05,1690.33,1680.92,122420000.0,0.0037
1699.89,1683.94,1700.71,1683.76,181560000.0,0.005699999999999999
1694.32,1695.57,1698.85,1692.2,117880000.0,-0.0033
1694.87,1692.99,1694.87,1690.44,100040000.0,0.0003
1687.68,1693.22,1694.88,1686.44,80060000.0,-0.0042
1691.07,1682.94,1691.07,1682.59,75150000.0,0.002
1683.07,1684.75,1689.96,1680.0,117090000.0,-0.004699999999999999
1682.06,1680.17,1684.39,1678.93,93860000.0,-0.0006
1680.3,1679.8,1687.43,1678.27,133710000.00000001,-0.001
1683.09,1675.41,1683.38,1673.87,104900000.0,0.0017000000000000001
1681.6,1679.24,1685.18,1677.7,99970000.0,-0.0009
1678.06,1686.62,1688.0,1675.73,205490000.0,-0.0021
1670.55,1682.35,1682.35,1668.7,176930000.0,-0.0045000000000000005
1671.79,1674.6,1675.39,1668.87,94260000.0,0.0007000000000000001
1678.08,1667.31,1679.57,1667.31,83870000.0,0.0038
1689.92,1674.68,1689.92,1673.1,111890000.0,0.0070999999999999995
1689.57,1680.35,1691.61,1680.09,106030000.0,-0.0002
1691.38,1691.53,1692.12,1686.37,102870000.0,0.0011
1686.44,1691.12,1691.12,1682.63,86490000.0,-0.0029
1677.18,1680.27,1682.41,1672.24,119380000.0,-0.0055000000000000005
1661.39,1674.68,1674.68,1659.2,134720000.0,-0.009399999999999999
1652.99,1660.09,1663.32,1650.9,190800000.0,-0.0051
1651.71,1661.87,1661.87,1651.71,103490000.0,-0.0008
1655.78,1656.91,1656.91,1645.18,106160000.0,0.0025
1658.73,1653.72,1659.21,1652.73,116480000.0,0.0018
